"A 행정구역별",H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2,H202401 2024.1/2
"A 행정구역별",T1 15세이상인구 (천명),T2 경제활동인구 (천명),T3 취업자 (천명),T4 실업자 (천명),T5 비경제활동인구 (천명),T6 경제활동참가율 (％),T7 고용률 (%),T11 15~64세 고용률 (%),T8 실업률 (％)
"3709 문경시",59,39,38,1,20,65.8,64.7,73.6,1.7
"3710 경산시",266,160,153,6,106,60.1,57.7,62.1,3.9
"3732 의성군",44,32,32,0,12,73.1,72.7,80.6,0.5
"3733 청송군",21,17,17,0,4,80.7,80.1,81.9,0.7
"3734 영양군",14,11,11,0,3,77.1,76.6,80.7,0.6
"3735 영덕군",30,20,20,0,10,66.1,65.9,78.2,0.4
"3736 청도군",37,28,28,0,9,75.0,74.7,77.9,0.4
"3737 고령군",28,19,19,0,9,69.2,68.2,75.2,1.4
"3738 성주군",36,26,26,0,10,72.1,71.7,80.9,0.6
"3739 칠곡군",98,65,63,2,33,66.5,64.5,69.3,2.9
"3740 예천군",47,31,31,0,15,67.3,66.5,74.7,1.3
"3741 봉화군",26,19,19,0,7,74.1,74.0,79.8,0.1
"3742 울진군",40,27,26,1,13,67.4,65.3,73.2,3.1
"3743 울릉군",7,6,6,0,1,82.6,82.5,86.1,0.1
"3803 진주시",306,196,190,6,110,64.0,62.1,65.9,2.9
"3805 통영시",105,66,64,2,38,63.3,61.5,68.7,2.9
"3806 사천시",94,62,61,1,32,66.0,65.1,70.2,1.4
"3807 김해시",468,295,286,8,174,62.9,61.1,65.7,2.9
"3808 밀양시",92,59,58,1,33,64.1,63.3,72.4,1.2
"3809 거제시",202,137,131,7,65,67.9,64.7,68.2,4.7
"3810 양산시",307,189,185,4,118,61.6,60.2,67.2,2.3
"3811 창원시",865,535,523,12,331,61.8,60.4,67.9,2.2
"3831 의령군",22,16,16,0,6,71.3,70.9,76.2,0.5
"3832 함안군",54,36,36,0,18,66.1,65.5,72.1,1.0
"3833 창녕군",52,36,35,1,16,69.3,68.2,75.7,1.5
"3834 고성군",44,31,30,1,13,70.2,68.4,72.8,2.6
"3835 남해군",36,26,26,0,11,71.1,70.4,76.0,1.0
"3836 하동군",34,26,26,0,8,76.6,75.9,80.6,0.9
"3837 산청군",30,23,22,1,7,76.6,74.8,77.9,2.3
"3838 함양군",32,23,23,0,9,72.6,72.0,77.0,0.8
"3839 거창군",52,36,35,0,17,68.2,67.5,70.2,1.0
"3840 합천군",35,25,25,0,10,71.3,71.0,82.1,0.3
"3901 제주시",424,298,290,8,126,70.3,68.4,73.5,2.7
"3902 서귀포시",155,113,111,2,42,73.2,72.0,76.8,1.6
